Date,Store ID,Product ID,Nivel Inventario,Unidades Vendidas,Temporada,Demanda Historica,Demanda Modelo,Residuo Modelo,Error Absoluto Modelo,Error Cuadratico Modelo,agotamiento_real,agotamiento_modelo,Residuo Historico,Error Absoluto Historico,Error Cuadratico Historico,agotamiento_historico
2022-02-21,S005,P0001,181,0,Autumn,6.61,8.96,-8.96,8.96,80.33,False,False,-6.61,6.61,43.69,False
2022-02-22,S005,P0001,131,83,Spring,79.79,74.09,8.91,8.91,79.34,False,False,3.21,3.21,10.3,False
2022-02-23,S005,P0001,276,83,Winter,77.08,70.85,12.15,12.15,147.59,False,False,5.92,5.92,35.05,False
2022-02-24,S005,P0001,213,155,Spring,149.69,146.6,8.4,8.4,70.52,False,False,5.31,5.31,28.2,False
2022-02-25,S005,P0001,405,217,Spring,216.61,213.4,3.6,3.6,12.99,False,False,0.39,0.39,0.15,False
2022-02-26,S005,P0001,305,132,Autumn,125.88,119.32,12.68,12.68,160.74,False,False,6.12,6.12,37.45,False
2022-02-27,S005,P0001,315,158,Summer,158.28,152.63,5.37,5.37,28.79,False,False,-0.28,0.28,0.08,False
2022-02-28,S005,P0001,189,146,Winter,136.45,132.91,13.09,13.09,171.28,False,False,9.55,9.55,91.2,False
2022-03-01,S005,P0001,263,105,Winter,98.03,92.82,12.18,12.18,148.47,False,False,6.97,6.97,48.58,False
2022-03-02,S005,P0001,225,198,Autumn,208.37,201.41,-3.41,3.41,11.66,False,False,-10.37,10.37,107.54,False
2022-03-03,S005,P0001,286,124,Spring,127.61,124.4,-0.4,0.4,0.16,False,False,-3.61,3.61,13.03,False
2022-03-04,S005,P0001,493,468,Autumn,459.11,451.57,16.43,16.43,270.02,False,False,8.89,8.89,79.03,False
2022-03-05,S005,P0001,466,406,Winter,399.28,398.84,7.16,7.16,51.33,False,False,6.72,6.72,45.16,False
2022-03-06,S005,P0001,55,13,Summer,27.7,21.27,-8.27,8.27,68.35,False,False,-14.7,14.7,216.09,False
2022-03-07,S005,P0001,354,261,Winter,257.38,254.58,6.42,6.42,41.19,False,False,3.62,3.62,13.1,False
2022-03-08,S005,P0001,327,318,Winter,320.96,312.9,5.1,5.1,26.05,False,False,-2.96,2.96,8.76,False
2022-03-09,S005,P0001,314,90,Spring,86.43,81.92,8.08,8.08,65.23,False,False,3.57,3.57,12.74,False
2022-03-10,S005,P0001,296,151,Autumn,153.15,148.71,2.29,2.29,5.24,False,False,-2.15,2.15,4.62,False
2022-03-11,S005,P0001,258,9,Summer,6.82,8.78,0.22,0.22,0.05,False,False,2.18,2.18,4.75,False
2022-03-12,S005,P0001,173,170,Spring,167.86,159.7,10.3,10.3,106.09,False,False,2.14,2.14,4.58,False
2022-03-13,S005,P0001,169,93,Summer,106.27,99.96,-6.96,6.96,48.41,False,False,-13.27,13.27,176.09,False
2022-03-14,S005,P0001,237,218,Winter,234.47,223.12,-5.12,5.12,26.23,False,False,-16.47,16.47,271.26,False
2022-03-15,S005,P0001,143,47,Autumn,58.88,51.88,-4.88,4.88,23.86,False,False,-11.88,11.88,141.13,False
2022-03-16,S005,P0001,200,46,Summer,55.83,50.17,-4.17,4.17,17.42,False,False,-9.83,9.83,96.63,False
2022-03-17,S005,P0001,248,191,Spring,208.4,202.13,-11.13,11.13,123.99,False,False,-17.4,17.4,302.76,False
2022-03-18,S005,P0001,134,115,Spring,121.66,113.1,1.9,1.9,3.61,False,False,-6.66,6.66,44.36,False
2022-03-19,S005,P0001,332,24,Autumn,16.77,14.83,9.17,9.17,84.06,False,False,7.23,7.23,52.27,False
2022-03-20,S005,P0001,162,39,Spring,47.18,41.92,-2.92,2.92,8.52,False,False,-8.18,8.18,66.91,False
2022-03-21,S005,P0001,150,23,Winter,20.41,15.14,7.86,7.86,61.7,False,False,2.59,2.59,6.71,False
2022-03-22,S005,P0001,495,338,Spring,349.63,342.81,-4.81,4.81,23.14,False,False,-11.63,11.63,135.26,False
2022-03-23,S005,P0001,335,120,Autumn,125.61,120.22,-0.22,0.22,0.05,False,False,-5.61,5.61,31.47,False
2022-03-24,S005,P0001,240,143,Spring,151.1,147.02,-4.02,4.02,16.14,False,False,-8.1,8.1,65.61,False
2022-03-25,S005,P0001,418,58,Autumn,65.74,61.73,-3.73,3.73,13.91,False,False,-7.74,7.74,59.91,False
2022-03-26,S005,P0001,275,133,Summer,152.24,147.68,-14.68,14.68,215.37,False,False,-19.24,19.24,370.18,False
2022-03-27,S005,P0001,272,24,Winter,14.28,12.04,11.96,11.96,142.96,False,False,9.72,9.72,94.48,False
2022-03-28,S005,P0001,163,28,Spring,18.57,14.52,13.48,13.48,181.78,False,False,9.43,9.43,88.92,False
2022-03-29,S005,P0001,435,372,Winter,388.25,382.37,-10.37,10.37,107.46,False,False,-16.25,16.25,264.06,False
2022-03-30,S005,P0001,310,86,Autumn,97.89,92.7,-6.7,6.7,44.94,False,False,-11.89,11.89,141.37,False
2022-03-31,S005,P0001,324,65,Spring,84.99,80.49,-15.49,15.49,239.96,False,False,-19.99,19.99,399.6,False
2022-04-01,S005,P0001,463,126,Autumn,139.78,134.83,-8.83,8.83,77.96,False,False,-13.78,13.78,189.89,False
2022-04-02,S005,P0001,210,10,Summer,11.52,10.75,-0.75,0.75,0.56,False,False,-1.52,1.52,2.31,False
2022-04-03,S005,P0001,122,81,Spring,88.12,81.93,-0.93,0.93,0.86,False,False,-7.12,7.12,50.69,False
2022-04-04,S005,P0001,435,381,Spring,375.43,367.33,13.67,13.67,186.86,False,False,5.57,5.57,31.02,False
2022-04-05,S005,P0001,420,93,Autumn,96.6,90.07,2.93,2.93,8.61,False,False,-3.6,3.6,12.96,False
2022-04-06,S005,P0001,73,58,Spring,67.61,58.66,-0.66,0.66,0.43,False,False,-9.61,9.61,92.35,False
2022-04-07,S005,P0001,265,152,Spring,159.72,152.65,-0.65,0.65,0.42,False,False,-7.72,7.72,59.6,False
2022-04-08,S005,P0001,226,115,Autumn,133.46,127.62,-12.62,12.62,159.16,False,False,-18.46,18.46,340.77,False
2022-04-09,S005,P0001,72,39,Summer,33.84,28.67,10.33,10.33,106.77,False,False,5.16,5.16,26.63,False
2022-04-10,S005,P0001,62,23,Winter,15.95,12.26,10.74,10.74,115.35,False,False,7.05,7.05,49.7,False
2022-04-11,S005,P0001,168,18,Spring,29.53,23.45,-5.45,5.45,29.75,False,False,-11.53,11.53,132.94,False
2022-04-12,S005,P0001,85,32,Winter,37.38,33.77,-1.77,1.77,3.14,False,False,-5.38,5.38,28.94,False
2022-04-13,S005,P0001,265,117,Autumn,134.11,130.75,-13.75,13.75,189.09,False,False,-17.11,17.11,292.75,False
2022-04-14,S005,P0001,445,426,Spring,439.64,429.56,-3.56,3.56,12.67,False,False,-13.64,13.64,186.05,False
2022-04-15,S005,P0001,425,38,Spring,53.72,48.13,-10.13,10.13,102.65,False,False,-15.72,15.72,247.12,False
2022-04-16,S005,P0001,202,186,Winter,178.21,171.17,14.83,14.83,219.8,False,False,7.79,7.79,60.68,False
2022-04-17,S005,P0001,112,20,Summer,11.2,11.55,8.45,8.45,71.35,False,False,8.8,8.8,77.44,False
2022-04-18,S005,P0001,416,118,Summer,124.06,119.61,-1.61,1.61,2.6,False,False,-6.06,6.06,36.72,False
2022-04-19,S005,P0001,92,58,Summer,57.84,52.25,5.75,5.75,33.12,False,False,0.16,0.16,0.03,False
2022-04-20,S005,P0001,95,35,Winter,30.02,26.32,8.68,8.68,75.32,False,False,4.98,4.98,24.8,False
2022-04-21,S005,P0001,113,0,Autumn,3.31,8.51,-8.51,8.51,72.49,False,False,-3.31,3.31,10.96,False
2022-04-22,S005,P0001,383,89,Summer,94.68,89.99,-0.99,0.99,0.98,False,False,-5.68,5.68,32.26,False
2022-04-23,S005,P0001,139,44,Spring,35.6,30.23,13.77,13.77,189.74,False,False,8.4,8.4,70.56,False
2022-04-24,S005,P0001,81,29,Summer,20.84,16.29,12.71,12.71,161.51,False,False,8.16,8.16,66.59,False
2022-04-25,S005,P0001,169,40,Autumn,34.49,28.94,11.06,11.06,122.29,False,False,5.51,5.51,30.36,False
2022-04-26,S005,P0001,389,185,Autumn,191.56,188.19,-3.19,3.19,10.18,False,False,-6.56,6.56,43.03,False
2022-04-27,S005,P0001,139,13,Winter,16.55,13.57,-0.57,0.57,0.33,False,False,-3.55,3.55,12.6,False
2022-04-28,S005,P0001,420,389,Autumn,383.39,373.76,15.24,15.24,232.3,False,False,5.61,5.61,31.47,False
2022-04-29,S005,P0001,149,72,Spring,73.57,67.59,4.41,4.41,19.45,False,False,-1.57,1.57,2.46,False
2022-04-30,S005,P0001,107,82,Autumn,100.71,91.65,-9.65,9.65,93.14,False,False,-18.71,18.71,350.06,False
2022-05-01,S005,P0001,112,10,Summer,7.87,9.61,0.39,0.39,0.15,False,False,2.13,2.13,4.54,False
2022-05-02,S005,P0001,327,117,Winter,117.66,112.77,4.23,4.23,17.93,False,False,-0.66,0.66,0.44,False
2022-05-03,S005,P0001,483,362,Summer,371.77,368.97,-6.97,6.97,48.6,False,False,-9.77,9.77,95.45,False
2022-05-04,S005,P0001,333,33,Summer,49.82,45.4,-12.4,12.4,153.7,False,False,-16.82,16.82,282.91,False
2022-05-05,S005,P0001,415,306,Summer,297.01,291.07,14.93,14.93,222.84,False,False,8.99,8.99,80.82,False
2022-05-06,S005,P0001,449,101,Spring,104.27,99.83,1.17,1.17,1.37,False,False,-3.27,3.27,10.69,False
2022-05-07,S005,P0001,427,266,Summer,283.4,280.01,-14.01,14.01,196.18,False,False,-17.4,17.4,302.76,False
2022-05-08,S005,P0001,195,88,Spring,107.02,100.79,-12.79,12.79,163.5,False,False,-19.02,19.02,361.76,False
2022-05-09,S005,P0001,182,34,Summer,29.87,25.58,8.42,8.42,70.97,False,False,4.13,4.13,17.06,False
2022-05-10,S005,P0001,348,230,Spring,238.56,232.99,-2.99,2.99,8.93,False,False,-8.56,8.56,73.27,False
2022-05-11,S005,P0001,398,38,Spring,42.17,39.9,-1.9,1.9,3.59,False,False,-4.17,4.17,17.39,False
2022-05-12,S005,P0001,369,25,Winter,21.75,17.26,7.74,7.74,59.95,False,False,3.25,3.25,10.56,False
2022-05-13,S005,P0001,125,54,Autumn,64.73,61.17,-7.17,7.17,51.41,False,False,-10.73,10.73,115.13,False
2022-05-14,S005,P0001,217,42,Autumn,51.64,46.74,-4.74,4.74,22.48,False,False,-9.64,9.64,92.93,False
2022-05-15,S005,P0001,477,325,Autumn,335.07,330.94,-5.94,5.94,35.27,False,False,-10.07,10.07,101.4,False
2022-05-16,S005,P0001,155,37,Spring,50.06,44.79,-7.79,7.79,60.75,False,False,-13.06,13.06,170.56,False
2022-05-17,S005,P0001,370,319,Spring,332.3,328.64,-9.64,9.64,93.0,False,False,-13.3,13.3,176.89,False
2022-05-18,S005,P0001,481,461,Summer,471.96,468.25,-7.25,7.25,52.57,False,False,-10.96,10.96,120.12,False
2022-05-19,S005,P0001,264,229,Spring,224.22,217.83,11.17,11.17,124.87,False,False,4.78,4.78,22.85,False
2022-05-20,S005,P0001,313,39,Summer,30.83,28.86,10.14,10.14,102.75,False,False,8.17,8.17,66.75,False
2022-05-21,S005,P0001,300,104,Summer,112.86,108.78,-4.78,4.78,22.83,False,False,-8.86,8.86,78.5,False
2022-05-22,S005,P0001,363,202,Spring,216.39,210.69,-8.69,8.69,75.54,False,False,-14.39,14.39,207.07,False
2022-05-23,S005,P0001,365,57,Summer,48.34,44.34,12.66,12.66,160.23,False,False,8.66,8.66,75.0,False
2022-05-24,S005,P0001,472,359,Spring,363.81,356.63,2.37,2.37,5.61,False,False,-4.81,4.81,23.14,False
2022-05-25,S005,P0001,293,11,Winter,26.55,23.76,-12.76,12.76,162.73,False,False,-15.55,15.55,241.8,False
2022-05-26,S005,P0001,392,277,Spring,273.47,266.29,10.71,10.71,114.66,False,False,3.53,3.53,12.46,False
2022-05-27,S005,P0001,118,10,Autumn,5.28,8.63,1.37,1.37,1.88,False,False,4.72,4.72,22.28,False
2022-05-28,S005,P0001,476,156,Winter,156.0,151.96,4.04,4.04,16.32,False,False,0.0,0.0,0.0,False
2022-05-29,S005,P0001,337,41,Spring,37.63,34.59,6.41,6.41,41.09,False,False,3.37,3.37,11.36,False
2022-05-30,S005,P0001,189,2,Spring,16.69,13.82,-11.82,11.82,139.82,False,False,-14.69,14.69,215.8,False
2022-05-31,S005,P0001,102,31,Winter,32.89,29.38,1.62,1.62,2.62,False,False,-1.89,1.89,3.57,False
2022-06-01,S005,P0001,330,105,Spring,123.25,117.91,-12.91,12.91,166.62,False,False,-18.25,18.25,333.06,False
2022-06-02,S005,P0001,60,16,Summer,34.88,28.97,-12.97,12.97,168.1,False,False,-18.88,18.88,356.45,False
2022-06-03,S005,P0001,432,22,Spring,29.23,24.35,-2.35,2.35,5.53,False,False,-7.23,7.23,52.27,False
2022-06-04,S005,P0001,485,102,Autumn,110.74,107.59,-5.59,5.59,31.24,False,False,-8.74,8.74,76.39,False
2022-06-05,S005,P0001,75,25,Autumn,16.42,12.3,12.7,12.7,161.24,False,False,8.58,8.58,73.62,False
2022-06-06,S005,P0001,411,181,Autumn,196.45,192.35,-11.35,11.35,128.75,False,False,-15.45,15.45,238.7,False
2022-06-07,S005,P0001,248,239,Winter,232.18,224.53,14.47,14.47,209.3,False,False,6.82,6.82,46.51,False
2022-06-08,S005,P0001,177,161,Spring,174.54,166.85,-5.85,5.85,34.26,False,False,-13.54,13.54,183.33,False
2022-06-09,S005,P0001,105,21,Summer,26.4,21.17,-0.17,0.17,0.03,False,False,-5.4,5.4,29.16,False
2022-06-10,S005,P0001,328,31,Spring,29.62,28.94,2.06,2.06,4.25,False,False,1.38,1.38,1.9,False
2022-06-11,S005,P0001,313,158,Summer,156.43,153.3,4.7,4.7,22.1,False,False,1.57,1.57,2.46,False
2022-06-12,S005,P0001,209,108,Summer,125.4,119.75,-11.75,11.75,138.1,False,False,-17.4,17.4,302.76,False
2022-06-13,S005,P0001,392,380,Summer,375.82,368.79,11.21,11.21,125.75,False,False,4.18,4.18,17.47,False
2022-06-14,S005,P0001,119,66,Autumn,56.1,51.7,14.3,14.3,204.41,False,False,9.9,9.9,98.01,False
2022-06-15,S005,P0001,438,302,Winter,319.28,314.08,-12.08,12.08,145.82,False,False,-17.28,17.28,298.6,False
2022-06-16,S005,P0001,457,456,Summer,452.76,446.69,9.31,9.31,86.73,False,False,3.24,3.24,10.5,False
2022-06-17,S005,P0001,210,43,Summer,51.27,45.0,-2.0,2.0,4.01,False,False,-8.27,8.27,68.39,False
2022-06-18,S005,P0001,450,269,Autumn,273.79,265.41,3.59,3.59,12.87,False,False,-4.79,4.79,22.94,False
2022-06-19,S005,P0001,448,69,Summer,75.25,69.22,-0.22,0.22,0.05,False,False,-6.25,6.25,39.06,False
2022-06-20,S005,P0001,408,18,Spring,9.19,8.51,9.49,9.49,90.07,False,False,8.81,8.81,77.62,False
2022-06-21,S005,P0001,254,76,Summer,94.78,89.66,-13.66,13.66,186.54,False,False,-18.78,18.78,352.69,False
2022-06-22,S005,P0001,316,231,Spring,223.41,219.2,11.8,11.8,139.15,False,False,7.59,7.59,57.61,False
2022-06-23,S005,P0001,82,56,Summer,69.77,62.81,-6.81,6.81,46.32,False,False,-13.77,13.77,189.61,False
2022-06-24,S005,P0001,61,38,Summer,38.7,31.75,6.25,6.25,39.05,False,False,-0.7,0.7,0.49,False
2022-06-25,S005,P0001,354,212,Winter,228.09,223.25,-11.25,11.25,126.59,False,False,-16.09,16.09,258.89,False
2022-06-26,S005,P0001,152,134,Spring,135.35,128.69,5.31,5.31,28.23,False,False,-1.35,1.35,1.82,False
2022-06-27,S005,P0001,119,114,Spring,128.49,116.45,-2.45,2.45,5.99,False,False,-14.49,14.49,209.96,True
2022-06-28,S005,P0001,236,86,Autumn,93.46,87.6,-1.6,1.6,2.57,False,False,-7.46,7.46,55.65,False
2022-06-29,S005,P0001,291,180,Summer,191.06,187.21,-7.21,7.21,52.04,False,False,-11.06,11.06,122.32,False
2022-06-30,S005,P0001,403,294,Summer,313.16,309.87,-15.87,15.87,251.72,False,False,-19.16,19.16,367.11,False
2022-07-01,S005,P0001,249,238,Winter,237.15,228.36,9.64,9.64,92.87,False,False,0.85,0.85,0.72,False
2022-07-02,S005,P0001,344,48,Autumn,40.94,35.88,12.12,12.12,146.83,False,False,7.06,7.06,49.84,False
2022-07-03,S005,P0001,411,116,Summer,129.9,123.38,-7.38,7.38,54.39,False,False,-13.9,13.9,193.21,False
2022-07-04,S005,P0001,258,218,Autumn,229.95,223.66,-5.66,5.66,32.03,False,False,-11.95,11.95,142.8,False
2022-07-05,S005,P0001,126,111,Winter,117.54,109.52,1.48,1.48,2.18,False,False,-6.54,6.54,42.77,False
2022-07-06,S005,P0001,98,87,Autumn,78.73,71.61,15.39,15.39,236.78,False,False,8.27,8.27,68.39,False
2022-07-07,S005,P0001,420,42,Autumn,34.08,29.72,12.28,12.28,150.82,False,False,7.92,7.92,62.73,False
2022-07-08,S005,P0001,109,46,Spring,64.27,59.61,-13.61,13.61,185.24,False,False,-18.27,18.27,333.79,False
2022-07-09,S005,P0001,468,45,Spring,55.1,51.76,-6.76,6.76,45.69,False,False,-10.1,10.1,102.01,False
2022-07-10,S005,P0001,310,151,Autumn,165.7,159.98,-8.98,8.98,80.67,False,False,-14.7,14.7,216.09,False
2022-07-11,S005,P0001,248,41,Autumn,32.13,28.21,12.79,12.79,163.66,False,False,8.87,8.87,78.68,False
2022-07-12,S005,P0001,326,88,Summer,80.49,75.97,12.03,12.03,144.72,False,False,7.51,7.51,56.4,False
2022-07-13,S005,P0001,481,470,Summer,475.21,468.32,1.68,1.68,2.83,False,False,-5.21,5.21,27.14,False
2022-07-14,S005,P0001,328,152,Winter,148.54,141.79,10.21,10.21,104.29,False,False,3.46,3.46,11.97,False
2022-07-15,S005,P0001,103,9,Winter,15.83,12.13,-3.13,3.13,9.78,False,False,-6.83,6.83,46.65,False
2022-07-16,S005,P0001,150,70,Winter,76.55,72.3,-2.3,2.3,5.28,False,False,-6.55,6.55,42.9,False
2022-07-17,S005,P0001,415,309,Winter,300.24,294.84,14.16,14.16,200.49,False,False,8.76,8.76,76.74,False
2022-07-18,S005,P0001,125,78,Spring,74.28,68.21,9.79,9.79,95.79,False,False,3.72,3.72,13.84,False
2022-07-19,S005,P0001,205,198,Spring,215.18,203.87,-5.87,5.87,34.44,False,False,-17.18,17.18,295.15,True
2022-07-20,S005,P0001,206,21,Autumn,33.11,28.2,-7.2,7.2,51.8,False,False,-12.11,12.11,146.65,False
2022-07-21,S005,P0001,159,76,Winter,93.08,88.13,-12.13,12.13,147.11,False,False,-17.08,17.08,291.73,False
2022-07-22,S005,P0001,404,222,Spring,229.61,225.31,-3.31,3.31,10.94,False,False,-7.61,7.61,57.91,False
2022-07-23,S005,P0001,183,76,Spring,91.57,86.84,-10.84,10.84,117.52,False,False,-15.57,15.57,242.42,False
2022-07-24,S005,P0001,442,204,Winter,199.07,192.76,11.24,11.24,126.36,False,False,4.93,4.93,24.3,False
2022-07-25,S005,P0001,415,338,Autumn,356.1,352.09,-14.09,14.09,198.45,False,False,-18.1,18.1,327.61,False
2022-07-26,S005,P0001,279,208,Spring,212.3,208.96,-0.96,0.96,0.92,False,False,-4.3,4.3,18.49,False
2022-07-27,S005,P0001,449,123,Autumn,116.19,109.94,13.06,13.06,170.63,False,False,6.81,6.81,46.38,False
2022-07-28,S005,P0001,239,115,Winter,109.29,102.33,12.67,12.67,160.57,False,False,5.71,5.71,32.6,False
2022-07-29,S005,P0001,220,171,Winter,178.15,172.73,-1.73,1.73,3.01,False,False,-7.15,7.15,51.12,False
2022-07-30,S005,P0001,475,264,Winter,271.69,266.54,-2.54,2.54,6.45,False,False,-7.69,7.69,59.14,False
2022-07-31,S005,P0001,194,181,Summer,182.86,175.0,6.0,6.0,35.95,False,False,-1.86,1.86,3.46,False
2022-08-01,S005,P0001,256,242,Spring,247.73,239.85,2.15,2.15,4.64,False,False,-5.73,5.73,32.83,False
2022-08-02,S005,P0001,316,98,Summer,99.93,94.85,3.15,3.15,9.92,False,False,-1.93,1.93,3.72,False
2022-08-03,S005,P0001,391,175,Summer,179.63,175.19,-0.19,0.19,0.03,False,False,-4.63,4.63,21.44,False
2022-08-04,S005,P0001,412,24,Autumn,22.85,18.69,5.31,5.31,28.21,False,False,1.15,1.15,1.32,False
2022-08-05,S005,P0001,190,12,Summer,11.06,10.57,1.43,1.43,2.03,False,False,0.94,0.94,0.88,False
2022-08-06,S005,P0001,316,288,Autumn,288.83,285.21,2.79,2.79,7.78,False,False,-0.83,0.83,0.69,False
2022-08-07,S005,P0001,74,12,Winter,15.9,12.33,-0.33,0.33,0.11,False,False,-3.9,3.9,15.21,False
2022-08-08,S005,P0001,231,15,Summer,11.51,10.22,4.78,4.78,22.88,False,False,3.49,3.49,12.18,False
2022-08-09,S005,P0001,107,71,Autumn,87.77,80.53,-9.53,9.53,90.78,False,False,-16.77,16.77,281.23,False
2022-08-10,S005,P0001,261,141,Autumn,159.56,152.51,-11.51,11.51,132.41,False,False,-18.56,18.56,344.47,False
2022-08-11,S005,P0001,251,84,Summer,76.35,71.2,12.8,12.8,163.77,False,False,7.65,7.65,58.52,False
